Attendance,Home Score,Home 1st Q,Home FG%,Home 3pt%,Home FT%,Away Score,Away 1st Q,Away FG%,Away 3pt%,Away FT%
12826,122,18,47.6,32.1,72.2,97,21,47.7,20.0,75.6
18354,110,26,43.2,34.3,88.0,117,36,50.5,37.5,72.2
13074,102,21,51.6,43.8,84.6,100,28,47.4,30.4,72.4
19522,111,30,44.2,25.0,87.5,81,27,31.2,23.3,76.2
18997,107,17,45.9,25.0,79.3,121,42,50.0,28.6,92.9
14735,94,22,44.0,28.6,66.7,98,29,44.7,31.9,93.8
15009,102,30,44.8,32.4,86.7,100,21,51.2,43.5,66.7
14148,115,27,41.0,31.4,64.3,120,28,44.9,38.7,64.5
19812,115,21,38.7,26.9,89.7,116,24,45.3,26.7,73.3
18203,122,36,48.4,37.0,71.0,116,28,48.8,31.0,83.3
19520,115,19,45.6,38.2,71.4,107,34,50.6,29.0,83.3
18306,111,31,44.2,25.8,65.9,124,30,57.0,39.4,92.9
16564,120,31,48.9,45.2,90.9,109,33,47.1,23.8,80.0
19596,117,29,50.6,54.2,95.7,101,31,45.8,33.3,76.2
13955,113,23,48.9,41.9,55.6,102,25,48.2,20.0,77.8
19234,119,35,47.6,44.1,96.3,100,24,42.5,31.4,75.0
14205,82,22,34.6,36.0,85.0,104,24,44.6,25.0,68.4
19512,118,33,52.7,39.5,62.5,103,31,43.5,38.1,87.5
16103,96,31,46.0,33.3,77.8,103,26,41.1,29.7,90.0
19432,86,20,37.1,29.0,84.6,95,23,41.7,25.9,69.2
12412,107,26,40.2,28.9,75.9,112,26,44.2,36.7,70.2
19600,95,27,38.7,31.3,72.2,88,20,33.0,40.6,92.9
16434,94,23,39.4,25.8,70.6,100,29,45.6,31.3,81.8
15514,107,29,44.7,36.7,70.6,98,26,39.6,29.0,76.5
15832,89,22,42.9,38.1,84.0,87,29,39.0,25.0,78.9
18306,117,30,48.3,35.1,69.2,102,18,39.7,33.3,90.0
17583,105,26,47.7,34.8,72.2,114,29,46.1,30.6,91.3
18997,114,30,48.4,44.1,78.6,110,32,45.1,50.0,88.9
18203,98,29,44.4,24.3,70.8,80,19,37.8,26.2,70.0
17359,109,32,44.1,31.4,84.2,116,13,40.2,37.8,77.4
19170,116,37,41.2,38.5,92.9,105,28,46.1,34.8,75.0
19596,111,29,48.3,35.7,77.3,134,32,51.5,25.7,77.8
20424,133,33,47.9,32.4,75.6,132,33,39.1,40.0,75.0
16562,117,32,51.2,41.9,84.2,108,25,51.2,40.7,68.4
14759,109,20,45.6,25.0,75.0,124,40,47.4,42.6,63.2
19600,102,26,45.0,51.9,59.3,110,24,54.4,35.0,58.6
19520,110,24,46.0,27.8,73.5,112,34,40.9,36.4,66.7
18306,123,27,55.8,38.2,80.0,115,25,44.3,39.5,90.9
17583,121,29,45.3,37.5,79.3,110,31,41.5,28.0,80.6
19800,128,25,53.2,40.0,75.0,112,25,45.8,27.3,81.8
17486,128,33,46.5,41.2,81.5,126,24,44.8,34.8,69.6
15222,119,33,48.8,44.0,82.8,99,26,40.7,27.8,95.0
21506,99,37,47.6,38.9,66.7,98,23,42.9,38.1,66.7
16904,112,21,43.7,36.7,73.3,106,26,51.8,25.8,62.5
19600,110,35,44.3,36.4,76.9,116,25,48.2,36.4,73.7
18354,96,20,44.6,50.0,74.1,89,21,33.3,22.0,69.0
19596,116,36,55.4,43.8,81.0,100,30,46.8,29.2,72.4
19818,111,23,55.8,48.3,64.7,96,22,39.2,26.5,61.1
17583,86,20,34.8,24.0,80.0,101,26,41.4,31.6,41.2
15133,103,27,36.5,27.3,78.9,113,24,50.6,39.3,88.9
18055,115,32,48.6,42.6,71.9,103,31,46.2,37.9,76.9
19812,89,10,35.2,17.9,73.3,115,30,44.9,40.5,90.9
19520,114,35,46.1,47.4,70.0,121,33,57.1,50.0,61.5
19712,100,26,45.3,38.9,80.0,94,21,38.7,33.3,80.0
18997,107,28,42.4,36.8,62.5,106,22,43.2,35.1,84.6
15346,117,30,50.6,39.4,72.7,109,30,48.3,50.0,72.7
19800,110,29,40.2,28.9,86.4,126,31,54.5,37.0,61.5
19600,114,26,48.1,41.9,81.8,124,32,47.0,41.7,79.5
18203,118,32,46.7,48.1,95.0,101,13,48.1,26.9,84.2
13477,88,16,41.8,16.7,78.3,96,20,39.0,28.1,76.7
10186,120,30,52.5,43.5,83.9,113,31,39.6,36.0,68.2
19012,98,20,39.3,24.2,90.9,103,25,46.8,30.3,65.5
15500,104,25,50.0,45.8,58.3,99,24,43.7,32.3,81.3
19068,121,34,47.3,25.0,88.2,116,30,46.8,38.7,69.6
19432,113,38,52.9,54.2,83.3,89,23,34.7,19.5,78.9
16741,99,30,50.0,44.0,75.0,109,27,54.9,35.1,69.2
19596,110,20,42.9,44.4,95.2,103,23,44.9,37.5,73.3
15921,111,27,50.0,42.9,86.4,106,30,47.7,48.3,66.7
14537,119,41,47.8,32.5,69.2,95,29,45.5,19.0,67.7
13317,107,21,40.6,28.6,70.8,120,37,54.1,27.6,71.4
18624,111,19,46.7,44.1,85.7,82,24,39.3,30.4,100.0
19800,104,31,48.9,20.0,58.8,106,26,48.4,30.3,61.5
18203,128,37,53.7,48.5,83.3,103,22,44.3,26.9,78.3
11636,107,38,41.1,43.8,79.2,100,28,42.6,32.1,61.1
16817,113,19,50.6,25.7,81.5,116,29,50.6,38.9,75.0
19371,118,30,58.4,42.9,66.7,68,24,30.9,17.1,63.2
14532,116,34,56.0,48.4,87.5,96,19,42.2,30.4,79.2
18997,126,26,47.3,46.9,88.5,117,33,44.1,42.4,91.3
18055,107,25,40.2,34.0,80.8,86,19,42.1,22.2,81.8
15103,138,35,56.4,41.9,76.0,93,23,34.8,21.4,74.1
17463,116,29,47.1,34.8,80.0,111,28,40.2,31.0,80.0
20485,113,38,50.6,47.8,62.5,107,24,46.6,18.2,56.8
17923,99,18,44.4,51.9,86.7,91,27,37.6,38.9,70.0
18624,123,30,52.8,34.6,83.3,116,27,43.3,27.6,82.8
15102,104,30,42.5,16.7,79.4,115,26,42.2,27.3,78.9
18978,112,29,50.0,42.9,72.7,96,21,42.0,27.6,70.0
14717,129,16,48.5,29.4,71.9,124,32,49.0,32.4,70.8
13811,112,29,50.6,44.0,62.5,104,28,46.3,36.4,75.0
17341,123,27,50.5,41.9,64.7,104,40,43.6,39.4,69.2
12944,119,37,45.5,46.4,76.5,127,32,50.5,47.8,83.3
17491,97,25,40.2,40.0,71.4,89,24,35.6,27.6,70.4
15408,125,37,48.3,40.0,91.2,115,35,48.4,38.5,61.5
19426,119,30,42.4,32.3,92.6,122,42,41.9,31.4,86.8
19249,130,25,53.8,34.4,82.6,117,31,47.8,33.3,84.0
18624,86,20,38.5,15.2,55.0,98,29,44.9,28.9,63.0
18055,132,36,56.8,42.6,83.3,112,29,45.1,31.4,75.0
21263,83,18,34.9,29.6,71.4,122,27,53.9,40.0,92.3
20260,112,26,46.5,29.4,64.7,109,22,44.7,27.3,94.1
16376,100,25,45.1,41.4,66.7,110,30,44.7,29.2,84.4
13179,87,20,38.8,41.4,81.3,100,17,42.7,42.9,72.0
16647,109,25,44.8,40.6,47.6,119,32,45.3,36.7,85.7
15898,131,44,57.1,40.6,84.6,117,31,46.0,33.3,82.9
19686,97,21,40.2,40.6,73.7,113,34,44.2,40.7,85.7
18354,104,33,44.6,41.7,70.6,92,27,40.7,19.2,81.0
20459,119,26,48.8,27.3,73.8,114,36,50.6,39.4,54.2
18040,117,29,48.3,36.6,72.7,112,24,50.6,28.1,72.2
15769,113,38,46.1,34.2,94.7,102,27,44.3,38.1,70.6
17000,121,32,52.7,48.0,64.7,94,19,48.6,44.0,68.8
14323,119,34,44.6,31.6,89.5,127,29,43.0,30.3,78.7
14675,140,30,57.8,38.5,85.7,126,39,47.9,50.0,80.0
15997,98,25,46.8,40.0,85.7,88,21,34.1,31.3,85.7
17341,104,25,45.5,30.6,59.1,98,29,42.6,29.3,66.7
16250,117,37,44.1,42.1,64.7,113,24,41.7,29.3,68.8
16016,91,17,40.5,26.7,78.9,93,29,44.8,26.5,75.0
14499,125,21,43.0,33.3,82.1,118,40,51.7,40.7,83.3
19600,92,13,36.0,21.9,65.0,104,20,43.2,25.8,76.9
19812,114,35,50.6,44.8,77.3,118,33,47.4,45.7,70.6
15913,127,35,56.3,62.1,86.4,109,30,48.8,33.3,94.1
20352,121,38,44.9,34.5,88.5,120,23,42.9,36.7,75.8
15058,108,24,45.2,27.8,77.8,124,29,53.3,37.9,73.9
18624,109,18,39.2,30.3,71.9,117,26,49.4,50.0,82.4
19014,124,25,56.8,44.0,87.5,116,28,49.0,29.4,100.0
17591,143,31,52.8,33.3,82.4,100,20,36.6,22.0,82.1
19432,105,28,38.2,38.2,93.3,109,24,51.3,36.0,71.4
18055,126,31,55.6,39.4,91.7,124,29,47.1,47.1,75.7
15086,101,25,44.3,28.1,84.6,103,23,47.2,40.0,83.3
19926,119,34,48.7,40.7,78.0,113,32,44.7,33.3,71.4
18354,103,32,42.7,31.8,86.7,104,30,48.1,32.0,85.7
18306,110,23,43.2,30.8,71.0,119,34,52.8,44.0,73.7
19596,95,18,43.4,24.1,66.7,123,23,48.1,37.1,53.3
12814,102,26,41.8,31.1,84.6,112,22,47.8,36.0,88.2
15418,112,16,42.6,34.8,88.9,107,22,45.7,33.3,77.8
17268,116,34,45.5,25.9,72.5,111,30,41.8,27.8,90.5
20524,112,23,53.3,36.4,76.9,121,31,52.7,50.0,75.0
18948,114,28,45.1,36.4,74.1,109,34,39.6,25.0,75.9
19800,125,38,49.5,43.6,84.2,107,26,40.0,19.6,94.7
15017,96,23,43.2,17.1,69.0,114,45,46.2,32.5,81.0
18203,109,33,44.1,33.3,66.7,104,31,45.7,19.4,85.7
17262,100,23,46.5,12.5,55.6,111,29,50.6,47.6,70.8
20935,96,26,37.2,25.0,95.0,103,28,42.5,29.4,61.3
17852,114,30,48.3,22.7,66.7,116,34,50.0,34.6,77.3
